Time,ID,Data
0.010273,0D0,12790C60FA000000
0.01734,0D0,1A790C60F9000000
0.028236,0D0,22790C60F8000000
0.038001,0D0,2A790C60F7000000
0.048631,0D0,32790C60F6000000
0.058083,0D0,3A790C60F5000000
0.068606,0D0,42790C60F4000000
0.078,0D0,4A790C60F3000000
0.088772,0D0,52790C60F2000000
0.098065,0D0,5A790C60F1000000
0.11027,0D0,62790C60F0000000
0.117354,0D0,6A790C60EF000000
0.128231,0D0,72790C60EE000000
0.137507,0D0,7A790C60ED000000
0.148603,0D0,02790C60FC000000
0.157695,0D0,0A790C60FB000000
0.168252,0D0,12790C60FA000000
0.177378,0D0,1A790C60F9000000
0.188547,0D0,22790C60F8000000
0.197729,0D0,2A790C60F7000000
0.210271,0D0,32790C60F6000000
0.218342,0D0,3A790C60F5000000
0.228225,0D0,42790C60F4000000
0.238021,0D0,4A790C60F3000000
0.248618,0D0,52790C60F2000000
0.257749,0D0,5A790C60F1000000
0.268252,0D0,62790C60F0000000
0.278022,0D0,6A790C60EF000000
0.288834,0D0,72790C60EE000000
0.29806,0D0,7A790C60ED000000
0.310295,0D0,02790C60FC000000
0.317383,0D0,0A790C60FB000000
0.32824,0D0,12790C60FA000000
0.338083,0D0,1A790C60F9000000
0.34857,0D0,22790C60F8000000
0.357713,0D0,2A790C60F7000000
0.36826,0D0,32790C60F6000000
0.378051,0D0,3A790C60F5000000
0.388503,0D0,42790C60F4000000
0.397998,0D0,4A790C60F3000000
0.410251,0D0,52790C60F2000000
0.417358,0D0,5A790C60F1000000
0.428261,0D0,62790C60F0000000
0.438022,0D0,6A790C60EF000000
0.448575,0D0,72790C60EE000000
0.458085,0D0,7A790C60ED000000
0.468232,0D0,02790C60FC000000
0.47801,0D0,0A790C60FB000000
0.488465,0D0,12790C60FA000000
0.497569,0D0,1A790C60F9000000
0.510286,0D0,22790C60F8000000
0.51836,0D0,2A790C60F7000000
0.528223,0D0,32790C60F6000000
0.538111,0D0,3A790C60F5000000
0.548595,0D0,42790C60F4000000
0.557715,0D0,4A790C60F3000000
0.568275,0D0,52790C60F2000000
0.578044,0D0,5A790C60F1000000
0.588379,0D0,62790C60F0000000
0.597544,0D0,6A790C60EF000000
0.610239,0D0,72790C60EE000000
0.617337,0D0,7A790C60ED000000
0.628221,0D0,02790C60FC000000
0.638002,0D0,0A790C60FB000000
0.648546,0D0,12790C60FA000000
0.657635,0D0,1A790C60F9000000
0.668262,0D0,22790C60F8000000
0.678009,0D0,2A790C60F7000000
0.688533,0D0,32790C60F6000000
0.698054,0D0,3A790C60F5000000
0.710301,0D0,42790C60F4000000
0.717425,0D0,4A790C60F3000000
0.728255,0D0,52790C60F2000000
0.738054,0D0,5A790C60F1000000
0.748534,0D0,62790C60F0000000
0.757695,0D0,6A790C60EF000000
0.768276,0D0,72790C60EE000000
0.778071,0D0,7A790C60ED000000
0.788284,0D0,02790C60FC000000
0.797444,0D0,0A790C60FB000000
0.810261,0D0,12790C60FA000000
0.818405,0D0,1A790C60F9000000
0.828241,0D0,22790C60F8000000
0.838003,0D0,2A790C60F7000000
0.84857,0D0,32790C60F6000000
0.857648,0D0,3A790C60F5000000
0.868234,0D0,42790C60F4000000
0.877994,0D0,4A790C60F3000000
0.888195,0D0,52790C60F2000000
0.897316,0D0,5A790C60F1000000
0.910499,0D0,62790C60F0000000
0.917592,0D0,6A790C60EF000000
0.928243,0D0,72790C60EE000000
0.938046,0D0,7A790C60ED000000
0.948492,0D0,02790C60FC000000
0.95764,0D0,0A790C60FB000000
0.968235,0D0,12790C60FA000000
0.978046,0D0,1A790C60F9000000
0.988131,0D0,22790C60F8000000
0.998273,0D0,2A790C60F7000000
1.0103,0D0,32790C60F6000000
1.017385,0D0,3A790C60F5000000
1.02824,0D0,42790C60F4000000
1.038003,0D0,4A790C60F3000000
1.048506,0D0,52790C60F2000000
1.057607,0D0,5A790C60F1000000
1.068255,0D0,62790C60F0000000
1.078005,0D0,6A790C60EF000000
1.089086,0D0,72790C60EE000000
1.098232,0D0,7A790C60ED000000
